Article_ID,Subject,Predicate,Object
2,Discrimination ,Has   Wiki Data Definition Extension ,"?Discrimination on the basis of disability? means any distinction, exclusion or restriction on the basis of disability which has the purpose or effect of impairing or nullifying the recognition, enjoyment or exercise, on an equal basis with others, of all human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field. It includes all forms of discrimination, including denial of reasonable accommodation;"
2,reasonable accommodation ,Has Subtopic,reasonable accommodation 
2,reasonable accommodation ,Has Wikidata Code,missing 
2,reasonable accommodation ,Has Wikidata Definition Extension,"?Reasonable accommodation? means necessary and appropriate modification and adjustments not imposing a disproportionate or undue burden, where needed in a particular case, to ensure to persons with disabilities the enjoyment or exercise on an equal basis with others of all human rights and fundamental freedoms;"
2,universal design ,Has Subtopic,universal design 
,universal design ,Mentioned In CRPD Article,2
2,universal design ,Has Wikidata Code,Q781118
2,universal design ,Has Wikidata Definition,"design of buildings, products or environments to make them accessible to all people"
2,universal design ,Has Wikidata Definition Extension,"means the design of products, environments, programmes and services to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design. ?Universal design? shall not exclude assistive devices for particular groups of persons with disabilities where this is needed."
3,CRPD_Article 3 ,Has CRPD Text,"Respect for inherent dignity, individual autonomy including the freedom to make one?s own choices, and independence of persons; Non-discrimination; Full and effective participation and inclusion in society; Respect for difference and acceptance of persons with disabilities as part of human diversity and humanity; Equality of opportunity; Accessibility; Equality between men and women; Respect for the evolving capacities of children with disabilities and respect for the right of children with disabilities to preserve their identities."
3,CRPD_Article 3 ,Has Subtopic,autonomy 
,Autonomy,Mentioned In CRPD Article,3
3,Autonomy,Has Wikidata Code,missing 
3,Autonomy,Has Wikidata Definition Extension,"the freedom to make one?s own choices, and independence of persons"
3,CRPD_Article 3 ,Has Subtopic,(social) inclusion 
,social inclusion ,Mentioned In CRPD Article,3
3,social inclusion ,Has Wikidata Code,Q3149923
3,social inclusion ,Has Wikidata Definition,affirmative action to change the circumstances and habits that lead to (or have led to) social exclusion
3,CRPD_Article 3 ,Has Subtopic,equal opportunity 
,equal opportunity ,Mentioned In CRPD Article,3
3,equal opportunity ,Has Wikidata Code,Q912512
3,equal opportunity ,Has Wikidata Definition,Similar treatment of all people
3,equal opportunity ,Has Wikidata Definition Extension,should this included a definition extension about equity? 
3,CRPD_Article 3 ,Has Subtopic,accessibility
,accessibility ,Mentioned In CRPD Article,3
3,accessibility ,Has Wikidata Code,Q555097
3,accessibility ,Has Wikidata Definition,design of products or services for people with temporary or permanent impairments
3,CRPD_Article 3 ,Has Subtopic,gender equality 
,gender equality ,Mentioned In CRPD Article,3
3,gender equality ,Has Wikidata Code,Q113453
3,gender equality ,Has Wikidata Definition,"state of equal ease of access to resources and opportunities regardless of gender, including economic participation and decision-making"
3,CRPD_Article 3 ,Has Subtopic,Respect
,respect ,Mentioned In CRPD Article,3
3,respect ,Has Wikidata Code,Q28510
3,respect ,Has Wikidata Definition,feeling of regard for someone or something
3,respect ,Has Wikidata Definition Extension,includes: Respect for the evolving capacities of children with disabilities and respect for the right of children with disabilities to preserve their identities.
4,CRPD_Article 4 ,Has CRPD Text,"States Parties undertake to ensure and promote the full realization of all human rights and fundamental freedoms for all persons with disabilities without discrimination of any kind on the basis of disability. To this end, States Parties undertake:
a) To adopt all appropriate legislative, administrative and other measures for the implementation of the rights recognized in the present Convention;
b) To take all appropriate measures, including legislation, to modify or abolish existing laws, regulations, customs and practices that constitute discrimination against persons with disabilities;
c) To take into account the protection and promotion of the human rights of persons with disabilities in all policies and programmes;
d) To refrain from engaging in any act or practice that is inconsistent with the present Convention and to ensure that public authorities and institutions act in conformity with the present Convention;
e) To take all appropriate measures to eliminate discrimination on the basis of disability by any person, organization or private enterprise;
f) To undertake or promote research and development of universally designed goods, services, equipment and facilities, as defined in article 2 of the present Convention, which should require the minimum possible adaptation and the least cost to meet the specific needs of a person with disabilities, to promote their availability and use, and to promote universal design in the development of standards and guidelines;
g) To undertake or promote research and development of, and to promote the availability and use of new technologies, including information and communications technologies, mobility aids, devices and assistive technologies, suitable for persons with disabilities, giving priority to technologies at an affordable cost;
h) To provide accessible information to persons with disabilities about mobility aids, devices and assistive technologies, including new technologies, as well as other forms of assistance, support services and facilities;
i) To promote the training of professionals and staff working with persons with disabilities in the rights recognized in the present Convention so as to better provide the assistance and services guaranteed by those rights.
2. With regard to economic, social and cultural rights, each State Party undertakes to take measures to the maximum of its available resources and, where needed, within the framework of international cooperation, with a view to achieving progressively the full realization of these rights, without prejudice to those obligations contained in the present Convention that are immediately applicable according to international law.
3. In the development and implementation of legislation and policies to implement the present Convention, and in other decision-making processes concerning issues relating to persons with disabilities, States Parties shall closely consult with and actively involve persons with disabilities, including children with disabilities, through their representative organizations.
4. Nothing in the present Convention shall affect any provisions which are more conducive to the realization of the rights of persons with disabilities and which may be contained in the law of a State Party or international law in force for that State. There shall be no restriction upon or derogation from any of the human rights and fundamental freedoms recognized or existing in any State Party to the present Convention pursuant to law, conventions, regulation or custom on the pretext that the present Convention does not recognize such rights or freedoms or that it recognizes them to a lesser extent.
"
4,CRPD_Article 4 ,Has Subtopic,
4,CRPD_Article 4 ,Has Wikidata Code,Missing 
5,CRPD_Article 5 ,Has CRPD Text,"States Parties recognize that all persons are equal before and under the law and are entitled without any discrimination to the equal protection and equal benefit of the law.; States Parties shall prohibit all discrimination on the basis of disability and guarantee to persons with disabilities equal and effective legal protection against discrimination on all grounds.; In order to promote equality and eliminate discrimination, States Parties shall take all appropriate steps to ensure that reasonable accommodation is provided.; Specific measures which are necessary to accelerate or achieve de facto equality of persons with disabilities shall not be considered discrimination under the terms of the present Convention."
5,CRPD_Article 5 ,Has Subtopic,discrimination 
,Discrimination,Mentioned In CRPD Article,5
5,discrimination ,Has Wikidata Code,Q169207
5,discrimination ,Has Wikidata Definition,prejudicial treatment based on membership in a certain group
5,discrimination ,Has Wikidata Definition Extension,States Parties shall prohibit all discrimination on the basis of disability and guarantee to persons with disabilities equal and effective legal protection against discrimination on all grounds
5,CRPD_Article 5 ,Has Subtopic,equality 
,equality ,Mentioned In CRPD Article,5
5,equality ,Has Wikidata Code,Q773009
5,,Has Wikidata Definition,equal treatment of people
5,CRPD_Article 5 ,Requires Wikidata Definition Extension,"in order to promote equality and eliminate discrimination, States Parties shall take all appropriate steps to ensure that reasonable accommodation is provided.; specific measures which are necessary to accelerate or achieve de facto equality of persons with disabilities shall not be considered discrimination under the terms of the present Convention."
6,CRPD_Article 6 ,Has CRPD Text,"1. States Parties recognize that women and girls with disabilities are subject to multiple discrimination, and in this regard shall take measures to ensure the full and equal enjoyment by them of all human rights and fundamental freedoms; 2. States Parties shall take all appropriate measures to ensure the full development, advancement and empowerment of women, for the purpose of guaranteeing them the exercise and enjoyment of the human rights and fundamental freedoms set out in the present Convention."
6,CRPD_Article 6 ,Has Subtopic,women 
,women ,Mentioned In CRPD Article,6
6,women ,Has Wikidata Code,Q467
6,women ,Has Wikidata Definition,Female adult human
6,CRPD_Article 6 ,Has Subtopic,discrimination 
6,discrimination ,Has Wikidata Code,Q169207
6,CRPD_Article 6 ,Has Wikidata Definition Extension,women and girls with disabilities are subject to multiple discrimination
6,CRPD_Article 6 ,Has Subtopic,human rights 
,human rights ,Mentioned In CRPD Article,6
6,human rights ,Has Wikidata Code,Q8458
6,human rights ,Has Wikidata Definition,inalienable fundamental rights to which a person is inherently entitled
6,CRPD_Article 6 ,Has Wikidata Definition Extension,"States Parties shall take all appropriate measures to ensure the full development, advancement and empowerment of women, for the purpose of guaranteeing them the exercise and enjoyment of the human rights and fundamental freedoms set out in the present Convention."
7,CRPD_Article 7 ,Has CRPD Text,"1. States Parties shall take all necessary measures to ensure the full enjoyment by children with disabilities of all human rights and fundamental freedoms on an equal basis with other children; 2. In all actions concerning children with disabilities, the best interests of the child shall be a primary consideration.; 3. States Parties shall ensure that children with disabilities have the right to express their views freely on all matters affecting them, their views being given due weight in accordance with their age and maturity, on an equal basis with other children, and to be provided with disability and age-appropriate assistance to realize that right.


"
7,CRPD_Article 7 ,Has Subtopic,children 
7,Children ,Has Wikidata Code,Q7569
,Children ,Mentioned In CRPD Article,7
7,Children ,Has Wikidata Definition,Human between the stages of birth and puberty
7,CRPD_Article 7 ,Requires Wikidata Definition Extension,children with disabilities receive equal rights to all other children; the best interests of the child shall be a primary consideration
7,CRPD_Article 7 ,Has Subtopic,freedom of expression 
7,CRPD_Article 7 ,Requires Wikidata Definition Extension,"children with disabilities have the right to express their views freely on all matters affecting them, their views being given due weight in accordance with their age and maturity, on an equal basis with other children, and to be provided with disability and age-appropriate assistance to realize that right."
8,CRPD_Article 8,Has CRPD Definition,"1States Parties undertake to adopt immediate, effective and appropriate measures: To raise awareness throughout society, including at the family level, regarding persons with disabilities, and to foster respect for the rights and dignity of persons with disabilities; To combat stereotypes, prejudices and harmful practices relating to persons with disabilities, including those based on sex and age, in all areas of life; To promote awareness of the capabilities and contributions of persons with disabilities; Measures to this end include: Initiating and maintaining effective public awareness campaigns designed: To nurture receptiveness to the rights of persons with disabilities;  To promote positive perceptions and greater social awareness towards persons with disabilities; to promote recognition of the skills, merits and abilities of persons with disabilities, and of their contributions to the workplace and the labour market; Fostering at all levels of the education system, including in all children from an early age, an attitude of respect for the rights of persons with disabilities; Encouraging all organs of the media to portray persons with disabilities in a manner consistent with the purpose of the present Convention; Promoting  awareness-training programmes regarding persons with disabilities and the rights of persons with disabilities."
8,CRPD_Article 8,Has Subtopic,awareness -raising   
8,CRPD_Article 8,Has Wikidata Code,Missing
8,CRPD_Article 8,Requires Wikidata Definition Extension,"awareness -raising is to aisle awareness throughout society, including at the family level, regarding persons with disabilities, and to foster respect for the rights and dignity of persons with disabilities; To combat stereotypes, prejudices and harmful practices relating to persons with disabilities. It is meant to  combat stereotypes, prejudices and harmful practices relating to persons with disabilities, including those based on sex and age, in all areas of life; To promote positive perceptions and greater social awareness towards persons with disabilities; to promote recognition of the skills, merits and abilities of persons with disabilities, and of their contributions to the workplace and the labour market; Fostering at all levels of the education system, including in all children from an early age, an attitude of respect for the rights of persons with disabilities;"
8,CRPD_Article 8,Has Subtopic,media 
,media ,Mentioned In CRPD Article,8
8,media ,Has Wikidata Code,Q11033
8,media ,Has Wikidata Definition,media technologies that are intended to reach a large audience by mass communication
8,CRPD_Article 8,Requires Wikidata Definition Extension,Encourage  all organs of the media to portray persons with disabilities in a manner consistent with the purpose of the present Convention;
9,CRPD_Article 9,Has CRPD Definition,"1. To enable persons with disabilities to live independently and participate fully in all aspects of life, States Parties shall take appropriate measures to ensure to persons with disabilities access, on an equal basis with others, to the physical environment, to transportation, to information and communications, including information and communications technologies and systems, and to other facilities and services open or provided to the public, both in urban and in rural areas. These measures, which shall include the identification and elimination of obstacles and barriers to accessibility, shall apply to, inter alia:  Buildings, roads, transportation and other indoor and outdoor facilities, including schools, housing, medical facilities and workplaces; 
b) Information, communications and other services, including electronic services and emergency services. States Parties shall also take appropriate measures: To develop, promulgate and monitor the implementation of minimum standards and guidelines for the accessibility of facilities and services open or provided to the public; To ensure that private entities that offer facilities and services which are open or provided to the public take into account all aspects of accessibility for persons with disabilities; To provide training for stakeholders on accessibility issues facing persons with disabilities; To provide in buildings and other facilities open to the public signage in Braille and in easy to read and understand forms; To provide forms of live assistance and intermediaries, including guides, readers and professional sign language interpreters, to facilitate accessibility to buildings and other facilities open to the public; To promote other appropriate forms of assistance and support to persons with disabilities to ensure their access to information;  To promote access for persons with disabilities to new information and communications technologies and systems, including the Internet; o promote the design, development, production and distribution of accessible information and communications technologies and systems at an early stage, so that these technologies and systems become accessible at minimum cost.
"
9,CRPD_Article 9,Has Subtopic,accessibility
9,accessibility ,Has Wikidata Code,Q555097
,accessibility ,Mentioned In CRPD Article,9
9,accessibility ,Has Wikidata Definition,design of products or services for people with temporary or permanent impairments
9,CRPD_Article 9,Requires Wikidata Definition Extension,"accessibility as it relates to information communication, transportation, built environment "
10,CRPD_Article 10,Has CRPD Text,"States Parties reaffirm that every human being has the inherent right to life and shall take all necessary measures to ensure its effective enjoyment by persons with disabilities on an equal basis with others.
"
10,CRPD_Article 10,Has Subtopic,right to life 
,right to life ,Mentioned In CRPD Article,10
10,right to life ,Has Wikidata Code,Q25822
10,right to life ,Has Wikidata Definition,belief that a human being has an essential right to live
11,CRPD_Article 11,Has CRPD Text,"States Parties shall take, in accordance with their obligations under international law, including international humanitarian law and international human rights law, all necessary measures to ensure the protection and safety of persons with disabilities in situations of risk, including situations of armed conflict, humanitarian emergencies and the occurrence of natural disasters."
11,CRPD_Article 11,Has Subtopic,humanitarian emergencies
11,CRPD_Article 11,Has Wikidata Code,missing 
,humanitarian emergencies,Mentioned In CRPD Article,11
11,CRPD_Article 11,Requires Wikidata Definition Extension,people with disabilities must be protected in humanitarian crisis such as armed conflict and natural disasters 
11,natural disaster ,Has Subtopic,Natural disaster
,natural disaster ,Mentioned In CRPD Article,11
11,natural disaster ,Has Wikidata Code,Q8065
11,natural disaster ,Has Wikidata Definition,"major adverse event resulting from natural processes of the Earth, which may cause loss of life or property"
12,CRPD_Article 12,Has CRPD Definition,"1. States Parties reaffirm that persons with disabilities have the right to recognition everywhere as persons before the law; 2. States Parties shall recognize that persons with disabilities enjoy legal capacity on an equal basis with others in all aspects of life; States Parties shall take appropriate measures to provide access by persons with disabilities to the support they may require in exercising their legal capacity; States Parties shall ensure that all measures that relate to the exercise of legal capacity provide for appropriate and effective safeguards to prevent abuse in accordance with international human rights law. Such safeguards shall ensure that measures relating to the exercise of legal capacity respect the rights, will and preferences of the person, are free of conflict of interest and undue influence, are proportional and tailored to the person?s circumstances, apply for the shortest time possible and are subject to regular review by a competent, independent and impartial authority or judicial body. The safeguards shall be proportional to the degree to which such measures affect the person?s rights and interests; Subject to the provisions of this article, States Parties shall take all appropriate and effective measures to ensure the equal right of persons with disabilities to own or inherit property, to control their own financial affairs and to have equal access to bank loans, mortgages and other forms of financial credit, and shall ensure that persons with disabilities are not arbitrarily deprived of their property."
12,CRPD_Article 12,Has Subtopic,legal capacity 
,legal capacity ,Mentioned In CRPD Article,12
12,legal capacity ,Has Wikidata Code,Q889137
,legal capacity ,Mentioned In CRPD Article,12
12,legal capacity ,Has Wikidata Definition,Missing
12,legal capacity ,Has Wikidata Definition Extension,persons with disabilities have the right to recognition everywhere as persons before the law; States Parties shall take appropriate measures to provide access by persons with disabilities to the support they may require in exercising their legal capacity; States Parties shall ensure that all measures that relate to the exercise of legal capacity provide for appropriate and effective safeguards to prevent abuse in accordance with international human rights law.
13,CRPD_Article 13,Has Subtopic,access to justice 
,access to justice ,Mentioned In CRPD Article,13
13,access to justice ,Has Wikidata Code,Missing
13,access to justice ,Has Wikidata Definition Extension,persons with disabilities have the right to recognition everywhere as persons before the law;
14,CRPD_Article 14 ,Has CRPD Text,"1. States Parties shall ensure that persons with disabilities, on an equal basis with others: a) Enjoy the right to liberty and security of person; Are not deprived of their liberty unlawfully or arbitrarily, and that any deprivation of liberty is in conformity with the law, and that the existence of a disability shall in no case justify a deprivation of liberty. States Parties shall ensure that if persons with disabilities are deprived of their liberty through any process, they are, on an equal basis with others, entitled to guarantees in accordance with international human rights law and shall be treated in compliance with the objectives and principles of the present Convention, including by provision of reasonable accommodation."
14,CRPD_Article 14 ,Has Subtopic,liberty (and security of person)
,liberty ,Mentioned In CRPD Article,14
14,liberty ,Has Wikidata Code,Q2979
14,liberty ,Has Wikidata Definition,ability of individuals to have agency
14,liberty ,Has Wikidata Definition Extension,"people with disabilities are not deprived of their liberty unlawfully or arbitrarily, and that any deprivation of liberty is in conformity with the law, and that the existence of a disability shall in no case justify a deprivation of liberty. People with disabilities are entitled to guarantees in accordance with international human rights law and shall be treated in compliance with the objectives and principles of the present Convention."
14,CRPD_Article 14 ,Has Subtopic,security of person 
,security of person ,Mentioned In CRPD Article,14
14,security of person ,Has Wikidata Code,Q7445060
14,security of person ,Has Wikidata Definition,"a basic entitlement guaranteed by the Universal Declaration of Human Rights, adopted by the United Nations in 1948"
14,Security of person ,Requires  Wikidata Definition Extension,Need legal advice 
15,CRPD_Article 15,Has CRPD Text,"1. No one shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment. In particular, no one shall be subjected without his or her free consent to medical or scientific experimentation. 2. States Parties shall take all effective legislative, administrative, judicial or other measures to prevent persons with disabilities, on an equal basis with others, from being subjected to torture or cruel, inhuman or degrading treatment or punishment."
15,CRPD_Article 15,Has Subtopic,"freedom from torture or cruel, inhuman or degrading treatment or punishment "
15,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",Has Wikidata Code,Q83644235
,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",Mentioned In CRPD Article,15
15,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",Has Wikidata Definition,freedom from torture and inhuman or degrading treatment freedom from torture
16,CRPD_Article 16,Has CRPD Text,"1. States Parties shall take all appropriate legislative, administrative, social, educational and other measures to protect persons with disabilities, both within and outside the home, from all forms of exploitation, violence and abuse, including their gender-based aspects.
2. States Parties shall also take all appropriate measures to prevent all forms of exploitation, violence and abuse by ensuring, inter alia, appropriate forms of gender- and age-sensitive assistance and support for persons with disabilities and their families and caregivers, including through the provision of information and education on how to avoid, recognize and report instances of exploitation, violence and abuse. States Parties shall ensure that protection services are age-, gender- and disability-sensitive.
3. In order to prevent the occurrence of all forms of exploitation, violence and abuse, States Parties shall ensure that all facilities and programmes designed to serve persons with disabilities are effectively monitored by independent authorities.
4. States Parties shall take all appropriate measures to promote the physical, cognitive and psychological recovery, rehabilitation and social reintegration of persons with disabilities who become victims of any form of exploitation, violence or abuse, including through the provision of protection services. Such recovery and reintegration shall take place in an environment that fosters the health, welfare, self-respect, dignity and autonomy of the person and takes into account gender- and age-specific needs.
5. States Parties shall put in place effective legislation and policies, including women- and child-focused legislation and policies, to ensure that instances of exploitation, violence and abuse against persons with disabilities are identified, investigated and, where appropriate, prosecuted.
"
16,CRPD_Article 16,Has Subtopic,freedom from violence 
,freedom from violence ,Mentioned In CRPD Article,16
16,freedom from violence ,Has Wikidata Code,missing
17,CRPD_Article 17 ,Has Subtopic,integrity 
,integrity ,Mentioned In CRPD Article,17
17,integrity ,Has Wikidata Code,Q1329012
17,integrity ,Has Wikidata Definition,"concept of consistency of actions, values, methods, measures, principles, expectations, and outcomes"
17,integrity ,Requires Wikidata Definition Extension,respect  integrity based on physical or mental disability 
18,CRPD_Article 18 ,Has CRPD Text," 1. States Parties shall recognize the rights of persons with disabilities to liberty of movement, to freedom to choose their residence and to a nationality, on an equal basis with others, including by ensuring that persons with disabilities:
a) Have the right to acquire and change a nationality and are not deprived of their nationality arbitrarily or on the basis of disability;
b) Are not deprived, on the basis of disability, of their ability to obtain, possess and utilize documentation of their nationality or other documentation of identification, or to utilize relevant processes such as immigration proceedings, that may be needed to facilitate exercise of the right to liberty of movement;
c) Are free to leave any country, including their own;
d) Are not deprived, arbitrarily or on the basis of disability, of the right to enter their own country.
2. Children with disabilities shall be registered immediately after birth and shall have the right from birth to a name, the right to acquire a nationality and, as far as possible, the right to know and be cared for by their parents.
"
18,CRPD_Article 18 ,Has Subtopic,liberty 
,liberty ,Mentioned In CRPD Article,18
18,liberty ,Has Wikidata Definition,ability of individuals to have agency
18,liberty ,Has Wikidata Code,Q2979
18,liberty ,Requires Wikidata Definition Extension,Q code does not have freedom of movement 
18,CRPD_Article 18 ,Has Subtopic,nationality 
,nationality ,Mentioned In CRPD Article,18
18,nationality ,Has Wikidata Code,Q231002
18,nationality ,Has Wikidata Definition,usually a person's nationality is usually acquired at birth by descent from either parent to those born within the territory of the state.
19,CRPD_Article 19,Has CRPD Text," States Parties to the present Convention recognize the equal right of all persons with disabilities to live in the community, with choices equal to others, and shall take effective and appropriate measures to facilitate full enjoyment by persons with disabilities of this right and their full inclusion and participation in the community, including by ensuring that:a) Persons with disabilities have the opportunity to choose their place of residence and where and with whom they live on an equal basis with others and are not obliged to live in a particular living arrangement;b) Persons with disabilities have access to a range of in-home, residential and other community support services, including personal assistance necessary to support living and inclusion in the community, and to prevent isolation or segregation from the community's) Community services and facilities for the general population are available on an equal basis to persons with disabilities and are responsive to their needs.



"
19,CRPD_Article 19,Has Subtopic,independent living 
,Independent living ,Mentioned In CRPD Article,19
19,Independent living ,Has Wikidata Code,Q1373709
19,Independent living ,Requires Wikidata Definition Extension,Missing
20,CRPD_Article 20,Has CRPD Text,"  States Parties shall take effective measures to ensure personal mobility with the greatest possible independence for persons with disabilities, including by:
a) Facilitating the personal mobility of persons with disabilities in the manner and at the time of their choice, and at affordable cost;
b) Facilitating access by persons with disabilities to quality mobility aids, devices, assistive technologies and forms of live assistance and intermediaries, including by making them available at affordable cost;
c) Providing training in mobility skills to persons with disabilities and to specialist staff working with persons with disabilities;
d) Encouraging entities that produce mobility aids, devices and assistive technologies to take into account all aspects of mobility for persons with disabilities.
"
20,CRPD_Article 20,Has Subtopic,personal mobility 
,personal mobility ,Mentioned In CRPD Article,20
20,personal mobility ,Has Wikidata Code,missing
21,CRPD_Article 21,Has CRPD Text,"  States Parties shall take all appropriate measures to ensure that persons with disabilities can exercise the right to freedom of expression and opinion, including the freedom to seek, receive and impart information and ideas on an equal basis with others and through all forms of communication of their choice, as defined in article 2 of the present Convention, including by:
a) Providing information intended for the general public to persons with disabilities in accessible formats and technologies appropriate to different kinds of disabilities in a timely manner and without additional cost;
b) Accepting and facilitating the use of sign languages, Braille, augmentative and alternative communication, and all other accessible means, modes and formats of communication of their choice by persons with disabilities in official interactions;
c) Urging private entities that provide services to the general public, including through the Internet, to provide information and services in accessible and usable formats for persons with disabilities;
d) Encouraging the mass media, including providers of information through the Internet, to make their services accessible to persons with disabilities;
e) Recognizing and promoting the use of sign languages.
"
21,CRPD_Article 21,Has Subtopic,freedom of expression 
,freedom of expression ,Mentioned In CRPD Article,21
21,freedom of expression ,Has Wikidata Code,missing
21,CRPD_Article 21,Has Subtopic,access to information 
21,access to information ,Has Wikidata Code,Q55603120
,access to information ,Mentioned In CRPD Article,21
21,access to information ,Has Wikidata Definition,"ability for an individual to seek, receive, and impart information effectively"
21,access to information ,Requires Wikidata Definition Extension,"People with disabilities should be provided with sign languages, Braille, augmentative and alternative communication, and all other accessible means, modes and formats of communication of their choice by persons with disabilities in official interactions;"
